5600	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
5700	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
5800	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
5900	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
6000	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
6100	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
6200	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
6300	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
6400	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
6500	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
6600	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
6700	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
6800	1.088 0.3465 -0.2036 -2.458 0.2909	0.06631 1.081 -1.18 -0.3916 -1.433	-2.019 -0.02789 1.005 -0.07295 -0.05011	-0.2592 -1.66 -0.408 1.154 0.7734	2.44 2.224 2.924 2.274 -4.623
6900	1.048 0.3279 -0.406 -2.415 0.3036	0.04888 1.075 -1.042 -0.4186 -1.506	-1.992 -0.1506 1.046 -0.06171 0.02768	-0.3903 -1.68 -0.3726 1.18 0.7155	2.409 2.263 2.923 2.341 -4.527
7000	1.128 0.265 -0.3767 -2.375 0.2593	0.1015 1.161 -1.104 -0.5069 -1.534	-2.002 -0.1278 1.1 -0.02517 0.0802	-0.2655 -1.724 -0.4154 1.187 0.6775	2.411 2.239 2.933 2.325 -4.574
7100	1.128 0.265 -0.3767 -2.375 0.2593	0.1015 1.161 -1.104 -0.5069 -1.534	-2.002 -0.1278 1.1 -0.02517 0.0802	-0.2655 -1.724 -0.4154 1.187 0.6775	2.411 2.239 2.933 2.325 -4.574
7200	1.128 0.265 -0.3767 -2.375 0.2593	0.1015 1.161 -1.104 -0.5069 -1.534	-2.002 -0.1278 1.1 -0.02517 0.0802	-0.2655 -1.724 -0.4154 1.187 0.6775	2.411 2.239 2.933 2.325 -4.574
7300	1.085 0.2419 -0.3023 -2.501 0.3208	0.2073 1.14 -1.135 -0.4459 -1.539	-2.067 -0.1221 1.048 0.0006947 0.09807	-0.2516 -1.706 -0.3978 1.159 0.6247	2.407 2.22 2.861 2.38 -4.574
7400	1.093 0.1713 -0.2929 -2.424 0.3815	0.2099 1.026 -1.192 -0.377 -1.434	-2.107 -0.02407 1.061 0.05732 -0.01803	-0.3965 -1.693 -0.3651 1.122 0.7309	2.337 2.265 2.794 2.542 -4.611
7500	1.15 0.1243 -0.3321 -2.54 0.3774	0.2091 1.053 -1.195 -0.4128 -1.471	-2.063 -0.02582 1.056 0.05708 0.05862	-0.2695 -1.672 -0.492 1.177 0.8429	2.366 2.22 2.809 2.517 -4.587
7600	1.099 0.08413 -0.3319 -2.48 0.3751	0.1983 1.054 -1.202 -0.1893 -1.492	-2.127 -0.07151 0.9972 0.02507 0.08276	-0.4317 -1.787 -0.483 1.174 0.8422	2.227 2.219 2.81 2.47 -4.603
7700	1.121 0.1605 -0.3956 -2.422 0.4382	0.2423 1.091 -1.188 -0.2162 -1.471	-2.18 -0.1033 1.078 -0.01484 0.1915	-0.3346 -1.844 -0.5056 1.204 0.8233	2.238 2.232 2.8 2.556 -4.555
7800	1.176 0.1852 -0.4178 -2.515 0.5164	0.1896 1.137 -1.172 -0.2742 -1.468	-2.195 -0.1048 1.136 0.1129 0.3056	-0.3333 -1.935 -0.5054 1.149 0.7171	2.358 2.172 2.75 2.628 -4.501
7900	1.176 0.1852 -0.4178 -2.515 0.5164	0.1896 1.137 -1.172 -0.2742 -1.468	-2.195 -0.1048 1.136 0.1129 0.3056	-0.3333 -1.935 -0.5054 1.149 0.7171	2.358 2.172 2.75 2.628 -4.501
8000	1.183 0.1982 -0.3991 -2.563 0.4505	0.1709 1.147 -1.176 -0.2062 -1.427	-2.176 -0.1808 1.086 0.1289 0.2962	-0.2998 -1.945 -0.5807 1.201 0.6737	2.416 2.157 2.745 2.668 -4.49
8100	1.183 0.1982 -0.3991 -2.563 0.4505	0.1709 1.147 -1.176 -0.2062 -1.427	-2.176 -0.1808 1.086 0.1289 0.2962	-0.2998 -1.945 -0.5807 1.201 0.6737	2.416 2.157 2.745 2.668 -4.49
8200	1.145 0.1739 -0.4735 -2.489 0.4469	0.1709 1.106 -1.15 -0.1705 -1.44	-2.185 -0.1395 1.088 0.1269 0.3168	-0.271 -1.967 -0.5028 1.213 0.7375	2.445 2.156 2.7 2.599 -4.511
8300	1.157 0.2372 -0.5018 -2.423 0.4359	0.1387 1.07 -1.209 -0.1735 -1.447	-2.224 -0.09828 1.126 0.08949 0.374	-0.2021 -1.952 -0.4408 1.212 0.8027	2.483 2.15 2.712 2.573 -4.568
8400	1.207 0.1956 -0.5236 -2.431 0.4362	0.1611 1.116 -1.226 -0.1583 -1.465	-2.197 -0.09936 1.083 0.09518 0.3561	-0.2042 -1.976 -0.408 1.218 0.7776	2.477 2.19 2.789 2.602 -4.603
8500	1.205 0.1791 -0.4581 -2.493 0.4493	0.1357 1.095 -1.25 -0.09447 -1.463	-2.195 -0.09491 1.079 0.1016 0.3366	-0.2155 -1.953 -0.4162 1.124 0.7765	2.467 2.173 2.759 2.604 -4.627
8600	1.205 0.1791 -0.4581 -2.493 0.4493	0.1357 1.095 -1.25 -0.09447 -1.463	-2.195 -0.09491 1.079 0.1016 0.3366	-0.2155 -1.953 -0.4162 1.124 0.7765	2.467 2.173 2.759 2.604 -4.627
8700	1.117 0.1724 -0.4931 -2.457 0.3952	0.1986 1.026 -1.331 -0.05147 -1.521	-2.285 -0.1476 1.107 0.06694 0.2727	-0.2523 -2.069 -0.3945 1.115 0.8223	2.535 2.163 2.728 2.656 -4.599
8800	1.108 0.1511 -0.4845 -2.454 0.4173	0.1439 1.028 -1.358 -0.08247 -1.474	-2.289 -0.1297 1.108 0.1136 0.3093	-0.2693 -2.065 -0.4009 1.145 0.7946	2.555 2.17 2.708 2.669 -4.601
8900	1.108 0.1511 -0.4845 -2.454 0.4173	0.1439 1.028 -1.358 -0.08247 -1.474	-2.289 -0.1297 1.108 0.1136 0.3093	-0.2693 -2.065 -0.4009 1.145 0.7946	2.555 2.17 2.708 2.669 -4.601
9000	1.108 0.1511 -0.4845 -2.454 0.4173	0.1439 1.028 -1.358 -0.08247 -1.474	-2.289 -0.1297 1.108 0.1136 0.3093	-0.2693 -2.065 -0.4009 1.145 0.7946	2.555 2.17 2.708 2.669 -4.601
9100	1.108 0.1511 -0.4845 -2.454 0.4173	0.1439 1.028 -1.358 -0.08247 -1.474	-2.289 -0.1297 1.108 0.1136 0.3093	-0.2693 -2.065 -0.4009 1.145 0.7946	2.555 2.17 2.708 2.669 -4.601
9200	1.108 0.1511 -0.4845 -2.454 0.4173	0.1439 1.028 -1.358 -0.08247 -1.474	-2.289 -0.1297 1.108 0.1136 0.3093	-0.2693 -2.065 -0.4009 1.145 0.7946	2.555 2.17 2.708 2.669 -4.601
